"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","�..X","Y","objectid","pcds","oa11","laua","ward","lsoa11","msoa11","rgn"
"Nacro","46 Loman Street,
London,
United Kingdom,
SE1 0EH","203583","68201,
85600,
88990",11.8,3,0,0,0,0,27,73,28.9,71.1,30.4,69.6,40.9,59.1,"https://3bx16p38bchl32s0e12di03h-wpengine.netdna-ssl.com/wp-content/uploads/2018/03/Gender-Pay-Gap-Report-2018.pdf","Kate Jenkins (HR & OD Director)","500 to 999","Nacro",FALSE,-0.099755494061319,51.5029392218557,2005598,"SE1 0EH","E00166633","E09000028","E05000536","E01003927","E02000808","E12000007"
"NAMCO UK LIMITED","37-39 Kew Foot Road,
Richmond,
United Kingdom,
TW9 2SS","2824795","93290",14.5,0,38.9,-51.7,9.4,7.7,45,55,53,47,57,43,70,30,"https://namcofunscape.com/about","Philip Millward (Director)","250 to 499","NAMCO UK LIMITED",FALSE,-0.301801125084708,51.4656073708982,2406278,"TW9 2SS","E00019425","E09000027","E05000526","E01003860","E02000785","E12000007"
"NANDO'S CHICKENLAND LIMITED","St Marys House,
42 Vicarage Crescent,
London,
United Kingdom,
SW11 3LD","2580031","56101",11.4,1.4,42.2,18.4,15,13,64,36,51,49,50,50,44,56,"https://www.nandos.co.uk/genderpayreport","Rob Papps (CEO, UK & Ireland)","5000 to 19,999","NANDO'S CHICKENLAND LIMITED",FALSE,-0.176156354375882,51.4743145115818,2224572,"SW11 3LD","E00023063","E09000032","E05000622","E01004581","E02000926","E12000007"
"National Association Of Citizens Advice Bureaux(The)","3rd Floor North,
200 Aldersgate,
London,
United Kingdom,
EC1A 4HD","1436945","85590,
86900,
94990",17.7,23.9,0,0,0,0,16.8,83.2,20.4,79.6,38.9,61.1,43.2,56.8,"https://www.citizensadvice.org.uk/about-us/how-citizens-advice-works/who-we-are-and-what-we-do/gender-pay-report-2017/","Steve Whitehead (Executive Director - People and Equality)","500 to 999","National Association Of Citizens Advice Bureaux(The)",FALSE,-0.097507308422238,51.5174710655532,746380,"EC1A 4HD","E00000007","E09000001","E05009288","E01000001","E02000001","E12000007"
"National Audit Office","157-197 Buckingham Palace Road,
London,
London,
United Kingdom,
SW1W 9SP","","1,
69201",10.6,11.3,0,0,0,0,56,44,46,54,59,41,65,35,"https://www.nao.org.uk/about-us/wp-content/uploads/sites/12/2018/01/2017_Gender_pay_gap_report.pdf","","500 to 999","National Audit Office",FALSE,-0.14823548691832,51.4917273650714,2243229,"SW1W 9SP","E00175209","E09000033","E05000647","E01004750","E02000982","E12000007"
"NATIONAL AUSTRALIA BANK","88 Wood Street,,
London,
EC2V 7QQ","BR001924","",32,29,56,46,91,92,47,53,75,25,78,22,90,10,"https://www.nab.com.au/about-us/corporate-responsibility/our-people/gender-equality","Lynda Dean (EGM Performance and Reward)","250 to 499","NATIONAL AUSTRALIA BANK",FALSE,-0.094367106016877,51.5170783441896,753183,"EC2V 7QQ","E00000021","E09000001","E05009302","E01000002","E02000001","E12000007"
"National Autistic Society(The)","393 City Road,
London,
United Kingdom,
EC1V 1NG","1205298","85590,
87300,
87900,
88100",0.3,-0.6,0,0,0,0,31.1,68.9,29,71,28.7,71.3,28.3,71.7,"http://www.autism.org.uk/get-involved/about-us/documents-reports/gender-pay-gap-report.aspx","Wande Showunmi (HR Director)","1000 to 4999","National Autistic Society(The)",FALSE,-0.104752958548327,51.5318058884458,748919,"EC1V 1NG","E00013964","E09000019","E05000380","E01002803","E02000573","E12000007"
"NATIONAL CAR PARKS LIMITED","Saffron Court,
14b St Cross Street,
London,
United Kingdom,
EC1N 8XA","253240","52219,
68320",-23.9,-11.6,-102.7,-100,82.6,73.5,84.5,15.5,90.3,9.7,82.9,17.1,74.4,25.6,"https://www.ncp.co.uk/help-centre/about-us/gender-pay-gap/","Jo Cooper (CEO)","1000 to 4999","NATIONAL CAR PARKS LIMITED",FALSE,-0.107480645216648,51.5209687289139,747724,"EC1N 8XA","E00004551","E09000007","E05000138","E01000916","E02000192","E12000007"
"National Centre For Social Research","35 Northampton Square,
London,
United Kingdom,
EC1V 0AX","4392418","72200",-5,-15,0,0,0,0,48,52,44,56,24,76,25,75,"http://www.natcen.ac.uk/about-us/statement-on-the-gender-pay-gap/","Guy Goodwin (Chief Executive)","1000 to 4999","National Centre For Social Research",FALSE,-0.103036954950738,51.5269580612841,748743,"EC1V 0AX","E00013574","E09000019","E05000370","E01002723","E02000575","E12000007"
"National Church Institutions","Church House,
Great Smith Street,
London,
SW1P 3AZ","8776679","",27,41,0,0,0,0,26,74,34,66,53,47,64,36,"https://www.churchofengland.org/sites/default/files/2017-10/nci_gender_pay_gap_report_-_1_august_2017_0.pdf","Carole Harden (Director of People & Change)","Not Provided","CHURCH OF ENGLAND CENTRAL SERVICES",FALSE,-0.129326046239884,51.4979380034178,2240480,"SW1P 3AZ","E00023947","E09000033","E05000644","E01004732","E02000979","E12000007"
"National Council Of Young Men's Christian Associations(Incorporated)(The)","Ymca England,
3rd Floor, 10-11 Charterhouse Square,
London,
England,
EC1M 6EE","73749","94990",25.4,5,0,0,0,0,24,76,10,90,29,71,41,59,"https://www.ymca.org.uk/wp-content/uploads/2018/03/GENDER-PAY-GAP-REPORTING.docx","Jamie Hutchinson (Director of Resources)","250 to 499","National Council Of Young Men's Christian Associations(Incorporated)(The)",FALSE,-0.098528192520521,51.5206440773337,747136,"EC1M 6EE","E00013434","E09000019","E05000367","E01033490","E02000575","E12000007"
"national employment savings trust","2A Southwark Bridge,
SE19HA","","1",17.4,24.2,4,0,79,73,47,53,44,56,67,33,67,33,"https://www.nestpensions.org.uk/schemeweb/nest/nestcorporation/how-nest-is-run/policy-and-procedures.html","","Less than 250","national employment savings trust",FALSE,-0.095253421197282,51.5079291241697,2008928,"SE1 9HA","E00166632","E09000028","E05000536","E01003935","E02000808","E12000007"
"NATIONAL FOOTBALL CENTRE LIMITED","Wembley Stadium,
Wembley,
London,
United Kingdom,
HA9 0WS","2523346","93110,
93130,
93199",-9.4,1.5,-335.6,-387.8,7.8,13.7,36,64,46,54,48,52,40.8,59.2,"http://the-fa.com/28s8rK","Rachel Brace (HR Director)","Less than 250","NATIONAL FOOTBALL CENTRE LIMITED",FALSE,-0.279642452557883,51.55669389758,979183,"HA9 0WS","E00174722","E09000005","E05000102","E01033424","E02000109","E12000007"
"National Grid Electricity Transmission PLC","1 - 3 Strand,
London,
United Kingdom,
WC2N 5EH","2366977","35120",5.8,14.5,-80.6,15.1,99.2,99.3,86.9,13.1,79.8,20.2,85.1,14.9,91.6,8.4,"https://www.nationalgrid.com/uk/understanding-our-uk-gender-pay-gap","Peter Gershon (Chairman)","500 to 999","National Grid Electricity Transmission PLC",FALSE,-0.126151882771246,51.507527543461,2489980,"WC2N 5EH","E00023936","E09000033","E05000644","E01004736","E02000977","E12000007"
"NATIONAL GRID GAS PLC","1-3, Strand,
London,
WC2N 5EH","2006000","35210",5.5,-0.6,1.1,8.8,97,97.2,42.1,57.9,73.5,26.5,63.1,36.9,78.7,21.3,"https://www.nationalgrid.com/uk/understanding-our-uk-gender-pay-gap","Peter Gershon (Chairman)","500 to 999","NATIONAL GRID GAS PLC",FALSE,-0.126151882771246,51.507527543461,2489980,"WC2N 5EH","E00023936","E09000033","E05000644","E01004736","E02000977","E12000007"
"NATIONAL GRID UK LIMITED","1-3, Strand,
London,
WC2N 5EH","4508773","96090",5.2,1.9,27,-7.8,79.3,77.2,71.4,28.6,75.9,24.1,72.4,27.6,77,23,"https://www.nationalgrid.com/uk/understanding-our-uk-gender-pay-gap","Peter Gershon (Chairman)","1000 to 4999","NATIONAL GRID UK LIMITED",FALSE,-0.126151882771246,51.507527543461,2489980,"WC2N 5EH","E00023936","E09000033","E05000644","E01004736","E02000977","E12000007"
"National Heritage Memorial Fund","7 Holbein Place,
London,
SW1W 8NR","","1",12.1,18.6,19,19.5,1.3,1.7,19,81,20,80,26.2,73.8,35,65,"https://www.hlf.org.uk/gender-pay-gap-report","","Not Provided","National Heritage Memorial Fund",FALSE,-0.155288586288745,51.4918654958183,2242884,"SW1W 8NR","E00014583","E09000020","E05009403","E01002902","E02000594","E12000007"
"National Institute For Health And Care Excellence","10 Spring Gardens,
London,
London,
United Kingdom,
SW1A 2BU","","1,
84120,
86210",4.9,6.4,0,0,0,0,28.5,71.5,30,70,39.2,60.8,35.9,64.1,"","","500 to 999","National Institute For Health And Care Excellence",FALSE,-0.127841885127052,51.5063764827317,2238959,"SW1A 2BU","E00023936","E09000033","E05000644","E01004736","E02000977","E12000007"
"NATIONAL MAGAZINE COMPANY LIMITED(THE)","72 Broadwick Street,
London,
United Kingdom,
W1F 9EP","112955","58142",17.2,17.2,11.8,3.8,23,27,16,84,23,77,32,68,34,66,"http://hearstcouk.wp.cdnds.net/2018/03/26092943/Hearst-UK-Gender-Pay-Gap-Report-2017-ExternalFINAL.pdf","Claire Blunt (COO & CFO)","500 to 999","NATIONAL MAGAZINE COMPANY LIMITED(THE)",FALSE,-0.137959063634933,51.5130572507048,2430204,"W1F 9EP","E00024110","E09000033","E05000649","E01033596","E02000972","E12000007"
"National Portrait Gallery","St Martin's Place,
London,
WC2H 0HE","","1",8.3,13.1,0,0,0,0,20.2,79.8,34.5,65.5,34.5,65.5,38.6,61.4,"https://www.npg.org.uk/assets/files/pdf/coms-dev/Gender_Pay_Report_2017.pdf","","250 to 499","National Portrait Gallery",FALSE,-0.128452893060262,51.5093987979779,2488921,"WC2H 0HE","E00023935","E09000033","E05000644","E01004736","E02000977","E12000007"
"National Schizophrenia Fellowship","89 Albert Embankment,
London,
United Kingdom,
SE1 7TP","1227970","86900",9.6,0,0,0,0,0,29,71,18,82,32,68,32,68,"https://www.rethink.org/","Andrew Hodges (Deputy Chief Executive)","500 to 999","National Schizophrenia Fellowship",FALSE,-0.1237137043544,51.4879563564541,2008358,"SE1 7TP","E00171544","E09000022","E05000427","E01003109","E02000620","E12000007"
"National Society For The Prevention Of Cruelty To Children","42 Curtain Road,
London,
London,
United Kingdom,
EC2A 3NH","RC000374","",14.7,9.2,0,0,0,0,12.6,87.4,16.3,83.7,21.3,78.7,28.2,71.8,"https://www.nspcc.org.uk/globalassets/documents/about-us/gender-pay-gap-report-2017.pdf","Peter Wanless (Chief Executive)","1000 to 4999","National Society For The Prevention Of Cruelty To Children",FALSE,-0.079969743884962,51.5235429660515,750679,"EC2A 3NH","E00176308","E09000012","E05009377","E01033708","E02000371","E12000007"
"National Union of Teachers","Hamilton House,
Mabledon Place,
WC1H 9BD","","94200",14.6,16.6,0,0,0,0,13.4,86.6,34.1,65.9,41.5,58.5,41.5,58.5,"https://www.teachers.org.uk/","Kevin Courtney (General Secretary)","250 to 499","National Union of Teachers",FALSE,-0.126886660400282,51.5278988321406,2484945,"WC1H 9BD","E00004666","E09000007","E05000141","E01000942","E02000190","E12000007"
"Natixis","Natixis Canon Bridge House,
25 Dowgate Hill,
LONDON,
LONDON,
United Kingdom,
EC4R 2YA","FC022657","",30,31.8,57.9,58.2,77.8,79.5,61.2,38.8,64.6,35.4,73.5,26.5,86.9,13.1,"https://www.natixis.com/natixis/upload/docs/application/pdf/2018-03/natixis_gender_pay_gap_2018-03-29_11-20-19_843.pdf","Serge Ekue (Senior Country Manager, UK & Head of Global Markets, EMEA)","250 to 499","Natixis",FALSE,-0.090897796029434,51.5107719525583,757387,"EC4R 2YA","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"Natural History Museum","Exhibition Road,
London,
London,
United Kingdom,
SW7 2DD","","91020",9.8,7.5,58,50,10.2,9.6,43,57,37,63,47,53,57,43,"","Chris Hills (Head of Human Resources)","500 to 999","Natural History Museum",FALSE,-0.17649274471173,51.4972959537195,2254531,"SW7 2DD","E00014101","E09000020","E05009393","E01002820","E02000592","E12000007"
"NATURE DELIVERED LIMITED","Palm Court,
4 Heron Square,
Richmond,
Surrey,
United Kingdom,
TW9 1EW","6402199","56290",19.8,19.4,53.3,0.4,52,47.7,43,57,40,60,52,48,65,35,"https://cdnassets.graze.com/ffaaa24ee2cc8345f5208d179dccd6d5.pdf","Anthony Fletcher (CEO)","250 to 499","NATURE DELIVERED LIMITED",FALSE,-0.306282143339723,51.4581184235467,2405729,"TW9 1EW","E00019494","E09000027","E05000528","E01003876","E02000791","E12000007"
"NAVOLIO LIMITED","1st, Floor, 36-37 King Street King Street,
London,
EC2V 8BB","3760009","56210,
78200",5.7,1.8,50.4,-16.2,1.9,1.3,36.6,63.4,43.4,56.6,44,56,60.9,39.1,"","Leszek Piekielniak (Head of Payroll)","1000 to 4999","NAVOLIO LIMITED",TRUE,-0.0925098516174,51.5142693852778,753223,"EC2V 8BB","E00166757","E09000001","E05009309","E01032739","E02000001","E12000007"
"Nazareth Care Charitable Trust","LARMENIER CENTRE,
162 East End Road,
East Finchley,
London,
United Kingdom,
N2 0RU","5518564","87100,
87300",20.5,6,-116.7,25,0.9,0.6,16.3,83.7,9.7,90.3,14.9,85.1,27.9,72.1,"https://www.sistersofnazareth.com/region/united-kingdom-region/","Robert York (CEO)","1000 to 4999","Nazareth Care Charitable Trust",FALSE,-0.176746122132596,51.5901482747887,1459088,"N2 0RU","E00000875","E09000003","E05000049","E01000183","E02000056","E12000007"
"NBCUNIVERSAL INTERNATIONAL LIMITED","1, Central St. Giles,
St. Giles High Street,
London,
WC2H 8NU","4415234","70100",3.2,6.2,-5.5,-23,65.1,65.6,42.6,57.4,62.7,37.3,57.4,42.6,56.7,43.3,"http://www.nbcuniversal.com/article/nbcuniversal-international-limited-gender-pay-gap-data","Beth Richardson (VP International Reward, Global Mobility, HR Ops)","250 to 499","NBCUNIVERSAL INTERNATIONAL LIMITED",FALSE,-0.127342917717125,51.5160806680554,2489372,"WC2H 8NU","E00004522","E09000007","E05000138","E01000919","E02000193","E12000007"
"NCR FINANCIAL SOLUTIONS GROUP LIMITED","9th Floor 5 Merchant Square,
London,
England,
W2 1BQ","414844","71121",16.2,20.6,40,47,67,50,63.9,36.1,75.7,24.3,84,16,86.8,13.2,"","Geoff Smith (HR - Director)","500 to 999","NCR FINANCIAL SOLUTIONS GROUP LIMITED",FALSE,-0.173186396362853,51.5187190073258,2444616,"W2 1BQ","E00175183","E09000033","E05000636","E01033593","E02000974","E12000007"
"NCR LIMITED","9th Floor 5 Merchant Square,
London,
England,
W2 1BQ","45916","62090",-23.4,-53.3,3,-37,31,42,86.5,13.5,96.2,3.8,90.1,9.9,83,17,"","Geoff Smith (HR Director)","1000 to 4999","NCR LIMITED",FALSE,-0.173186396362853,51.5187190073258,2444616,"W2 1BQ","E00175183","E09000033","E05000636","E01033593","E02000974","E12000007"
"Nec Europe Ltd","Athene Odyssey Business Park,
West End Road,
South Ruislip,
Middlesex,
United Kingdom,
HA4 6QE","2832014","46520",39,41,40.5,21,92.2,67.1,41.5,58.5,66.7,33.3,84.8,15.2,92.5,7.5,"","Luca Vanni (VP HR & Organisational Effectiveness)","250 to 499","Nec Europe Ltd",FALSE,-0.402699020735034,51.5573716427617,971121,"HA4 6QE","E00012432","E09000017","E05000338","E01002497","E02006796","E12000007"
"NEOPOST LIMITED","Neopost House,
South Street,
Romford,
Essex,
United Kingdom,
RM1 2AR","2658324","28230",33,35.1,42.7,50.2,71.2,60.6,38.3,61.7,72.3,27.7,79.7,20.3,82.5,17.5,"https://www.neopost.co.uk/","Mike Stone (Managing Director)","250 to 499","NEOPOST LIMITED",FALSE,0.187228277395065,51.5663022361337,1913321,"RM1 2AR","E00011577","E09000016","E05000315","E01002319","E02000479","E12000007"
"NETNAMES OPERATIONS LIMITED","25, Canada Square,
Canary Wharf,
London,
E14 5LQ","3709856","62090",23,13,61.6,2.6,59.1,41.5,51,49,74,26,100,0,100,0,"https://www.netnames.com/assets/Uploads/NetNames-Gender-Pay-Gap-Report.pdf","Jim Stoltzfus (Executive Vice President)","250 to 499","CSC ADMINISTRATIVE SERVICES LIMITED",TRUE,-0.018233769402508,51.5041434551354,726817,"E14 5LQ","E00167122","E09000030","E05009323","E01032771","E02006854","E12000007"
"NETWORK HOMES LIMITED","Olympic Office Centre,
8 Fulton Road,
Wembley, Middlesex,
HA9 0NU","RS007326","",19.2,17,29.6,0,60,69.6,30.3,69.7,27,73,41,59,58.5,41.5,"https://www.networkhomes.org.uk/about-us/publications/","Fiona Deal (Executive Director of People and Culture)","500 to 999","NETWORK HOMES LIMITED",FALSE,-0.278906142785996,51.5605318655717,979073,"HA9 0NU","E00174722","E09000005","E05000102","E01033424","E02000109","E12000007"
"NETWORK RAIL INFRASTRUCTURE LIMITED","1 Eversholt Street,
London,
United Kingdom,
NW1 2DN","2904587","41100,
49100,
49200,
68100",7,11,-11,0,99,99,77,23,84,16,88,12,87,13,"https://www.networkrail.co.uk/who-we-are/diversity-and-inclusion/network-rail-gender-pay-gap-report-2017/","Alison Rumsey (Group Human Resources Director)","Not Provided","NETWORK RAIL INFRASTRUCTURE LIMITED",FALSE,-0.132157221330915,51.5280458049834,1635939,"NW1 2DN","E00004694","E09000007","E05000142","E01000945","E02000188","E12000007"
"NEW ADVENTURE TRAVEL LIMITED","Comfortelgro House, 329 Edgware Road,
Cricklewood,
London,
England,
NW2 6JP","6507924","49390",-4.9,-4.3,0,0,0,0,96.8,3.2,90.2,9.8,96.8,3.2,85.2,14.8,"","Kevyn Jones (Managing Director)","250 to 499","NEW ADVENTURE TRAVEL LIMITED",TRUE,-0.221892615898467,51.5623171820228,1646284,"NW2 6JP","E00002452","E09000005","E05000088","E01000497","E02000103","E12000007"
"NEW ENGLAND SEAFOOD INTERNATIONAL LIMITED","48 Cox Lane,
Chessington,
Surrey,
United Kingdom,
KT9 1TW","2565953","10200",12.7,0.1,112.9,0,83.6,87.6,70.8,29.2,70.5,29.5,71.4,28.6,79.2,20.8,"","Dustine Woolfenden (Head of People Operations)","250 to 499","NEW ENGLAND SEAFOOD INTERNATIONAL LIMITED",FALSE,-0.289640843557278,51.3683465340406,1142316,"KT9 1TW","E00014823","E09000021","E05000404","E01002944","E02000616","E12000007"
"NEWAY INTERNATIONAL LIMITED","305 Regents Park Road,
Finchley,
London,
United Kingdom,
N3 1DP","4843833","82990",8.9,0,65,96,4.4,16.4,62.6,37.4,59.8,40.2,57.4,42.6,80.3,19.7,"","Jacob Marrs (Director)","250 to 499","NEWAY INTERNATIONAL LIMITED",TRUE,-0.195958542551156,51.5996716828594,1463106,"N3 1DP","E00000989","E09000003","E05000051","E01000196","E02000051","E12000007"
"Newday Cards Ltd","7 Handyside Street,
London,
England,
N1C 4DA","4134880","64921",35,42,67,52,74,83,53,47,25,75,51,49,68,32,"https://newday.co.uk/sustainability/gender-pay-gap-reporting/","James Corcoran (Chief Executive Officer)","1000 to 4999","Newday Cards Ltd",FALSE,-0.122684455398059,51.5368244051021,1457974,"N1C 4DA","E00004734","E09000007","E05000143","E01000953","E02000187","E12000007"
"Newham College Of Further Education","East Ham Campus,
High Street South,
London,
London,
United Kingdom,
E6 6ER","","1,
85320",2.1,6.1,0,0,0,0,30.9,69.1,29.7,70.3,38.3,61.7,34.6,65.4,"https://www.newham.ac.uk/the-college/equality-diversity.html","","500 to 999","Newham College Of Further Education",FALSE,0.054868651644339,51.531751938819,742327,"E6 6ER","E00017811","E09000025","E05000480","E01003526","E02000731","E12000007"
"Newham Council","Newham Dockside,
1000 Dockside Road,
London,
London,
United Kingdom,
E16 2QU","","1,
84110",6.9,9.4,-5.8,0,19.4,19.6,24,76,44,56,37,63,44,56,"","","1000 to 4999","Newham Council",FALSE,0.047287302288761,51.5077028048992,730283,"E16 2QU","E00017797","E09000025","E05000479","E01003513","E02000748","E12000007"
"NEWS GROUP NEWSPAPERS LIMITED","1, London Bridge Street,
London,
SE1 9GF","679215","58130",24.8,19.6,21.5,0,55.9,43.4,55.4,44.6,65.4,34.6,79.4,20.6,83.6,16.4,"https://www.news.co.uk/2018/03/news-uk-gender-pay-report/","Mark Beesley (Group HR Director)","500 to 999","NEWS GROUP NEWSPAPERS LIMITED",FALSE,-0.087720729670693,51.5054234652641,2008912,"SE1 9GF","E00020008","E09000028","E05000542","E01003981","E02000812","E12000007"
"NEWS UK & IRELAND LIMITED","1 London Bridge Street,
London,
United Kingdom,
SE1 9GF","1893198","82990",14.4,22.4,5.1,-129.1,73.6,73.4,40.6,59.4,50,50,64.4,35.6,63.3,36.7,"https://www.news.co.uk/2018/03/news-uk-gender-pay-report/","Mark Beesley (Group HR Director)","1000 to 4999","NEWS UK & IRELAND LIMITED",FALSE,-0.087720729670693,51.5054234652641,2008912,"SE1 9GF","E00020008","E09000028","E05000542","E01003981","E02000812","E12000007"
"NEWTON INVESTMENT MANAGEMENT LIMITED","Bny Mellon Centre,
160 Queen Victoria Street,
London,
United Kingdom,
EC4V 4LA","1371973","66300",18,20,48,57,98,96,54,46,64,36,70,30,77,23,"https://www.newtonim.com/gender-pay-gap-report","Hanneke Smits (CEO, Newton Investment Management)","250 to 499","NEWTON INVESTMENT MANAGEMENT LIMITED",FALSE,-0.102493602592012,51.5122910836859,757753,"EC4V 4LA","E00000024","E09000001","E05009304","E01032739","E02000001","E12000007"
"Newvic College","Prince Regent Lane,
London,
London,
United Kingdom,
E13 8SG","","1,
85310",3.3,2.7,0,0,0,0,44.4,55.6,38.1,61.9,46.9,53.1,39.1,60.9,"","","250 to 499","Newvic College",FALSE,0.031726522785812,51.520068938487,725251,"E13 8SG","E00018194","E09000025","E05000490","E01003601","E02000741","E12000007"
"NEX Group PLC","2 Broadgate,
London,
United Kingdom,
EC2M 7UR","10013770","70100",25,31,52,41,73,79,61,39,47,53,72,28,77,23,"https://www.nex.com/investors/corporate-governance/csr-statement","Harriet Oliver (Group Head of HR)","250 to 499","NEX Group PLC",FALSE,-0.084335649635982,51.5187853447671,751901,"EC2M 7UR","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"NEXEN PETROLEUM U.K. LIMITED","Prospect House, 97 Oxford Road,
Uxbridge,
UB8 1LU","1051137","6100",23.8,18.2,23.5,-17.4,99,100,66,34,88,12,88,12,92,8,"http://www.nexencnoocltd.com/en/Careers/FindOutMore.aspx","Ray Riddoch (Managing Director U.K. & SVP Europe)","500 to 999","NEXEN PETROLEUM U.K. LIMITED",FALSE,-0.484361406730167,51.5499938906641,2416390,"UB8 1LU","E00012543","E09000017","E05000341","E01002521","E02000509","E12000007"
"NHS Brent CCG","15 Marylebone Road,
London,
NW1 5JD","","1",15.3,10,36.5,36.5,0.7,1.1,26.2,73.8,55.6,44.4,37.5,62.5,55,45,"","","250 to 499","NHS Brent CCG",FALSE,-0.151513836291481,51.5228398634056,1636969,"NW1 5JD","E00023825","E09000033","E05000641","E01004717","E02000970","E12000007"
"NHS Central London CCG","15 Marylebone Road,
London,
NW1 5JD","","1",9.1,12.2,-46.5,-183.9,3.6,4.3,26.4,73.6,31.9,68.1,39.3,60.7,37.1,62.9,"","","Less than 250","NHS Central London CCG",FALSE,-0.151513836291481,51.5228398634056,1636969,"NW1 5JD","E00023825","E09000033","E05000641","E01004717","E02000970","E12000007"
"NHS Improvement","Wellington House,
133-155 Waterloo Road,
London,
SE1 8UG","","1",15,17.4,100,100,0.2,0,27,73,44.2,55.8,50,50,49.4,50.6,"https://improvement.nhs.uk/about-us/corporate-publications/publications/gender-pay-gap-report-2016-2017/","","1000 to 4999","NHS Improvement",FALSE,-0.108809855944429,51.5017636274514,2008720,"SE1 8UG","E00015173","E09000022","E05000416","E01032582","E02006801","E12000007"
"NHS NEL Commissioning Support Unit","75-77 Worship Street,
London,
EC2A 2DU","","1",3.5,8.5,0,0,0,0,51.5,48.5,46.5,53.5,56.9,43.1,55,45,"","","1000 to 4999","NHS NEL Commissioning Support Unit",FALSE,-0.084148298918429,51.5222174888364,750458,"EC2A 2DU","E00008834","E09000012","E05009377","E01033708","E02000371","E12000007"
"NHS PROPERTY SERVICES LIMITED","99 Gresham Street,
London,
United Kingdom,
EC2V 7NG","7888110","68320",26.5,19.2,-113,12.3,1.6,0.3,29,71,15,85,34,66,54,46,"https://www.property.nhs.uk/workingforus/","Elaine Hewitt (Chief Executive Officer)","1000 to 4999","NHS PROPERTY SERVICES LIMITED",FALSE,-0.090417526918883,51.5150176969741,753145,"EC2V 7NG","E00166755","E09000001","E05009292","E01032739","E02000001","E12000007"
"NHS Resolution formerly NHS Litigation Authority","151 Buckingham Palace Road,
London,
SW1W 9SZ","","1",8.3,8.1,0,0,0,1,32,68,44,56,37,63,49,51,"","","250 to 499","NHS Resolution formerly NHS Litigation Authority",FALSE,-0.146494247972762,51.493102720907,2243238,"SW1W 9SZ","E00175209","E09000033","E05000647","E01004750","E02000982","E12000007"
"Nhs South East Csu","1 Lower Marsh,
London,
London,
SE1 7NT","","1,
86210",12.1,15.3,0,0,0,0,32.1,67.9,33.8,66.2,44.5,55.5,49.4,50.6,"","","500 to 999","Nhs South East Csu",FALSE,-0.113576737620453,51.5000778131953,2008262,"SE1 7NT","E00015180","E09000022","E05000416","E01032582","E02006801","E12000007"
"NICHOLLS & CLARKE LIMITED","41-51, Freshwater Road,
Chadwell Heath,
Romford,
Essex,
RM8 1SP","66664","70100",13.1,3.6,47.8,30.3,26.8,19.1,89.8,10.2,80.7,19.3,79,21,84,16,"http://www.nichollsandclarke.com/gender-pay-gap-report","David Cooper (Finance Director & Company Secretary)","500 to 999","NICHOLLS & CLARKE LIMITED",FALSE,0.131332013410153,51.5666915768398,1926546,"RM8 1SP","E00000549","E09000002","E05000042","E01000112","E02000003","E12000007"
"NIGEL FREDERICKS LIMITED","Nigel Fredericks House,
Carlisle Road,
Colindale,
London,
United Kingdom,
NW9 0HD","375784","46320",2.3,2.2,0,0,0,0,64.3,35.7,74.5,25.5,66,34,54.7,45.3,"https://www.nigelfredericks.co.uk","Barry Nicholson (Head of HR)","250 to 499","NIGEL FREDERICKS LIMITED",FALSE,-0.265566237732965,51.5956307450431,1658266,"NW9 0HD","E00002857","E09000005","E05000099","E01000587","E02000093","E12000007"
"Nightingalehammerson.org","105 Nightingale Lane,
London,
SW12 8NB","","87100",6.1,-4.4,0,0,0,0,29,71,15,85,13,87,16,84,"","Bernadette Thomas (Director of HR)","250 to 499","Nightingalehammerson.org",FALSE,-0.15972168904597,51.4493548375217,2226486,"SW12 8NB","E00022899","E09000032","E05000618","E01004550","E02000939","E12000007"
"Nijjar Property Limited","16 Eastman Road,
London,
W3 7YG","3023969","",-9.2,-2.8,100,0,0.4,0,98.5,1.5,95.4,4.6,95.5,4.5,92.3,7.7,"","Harish Ramchandani (Finance Director)","250 to 499","Nijjar Property Limited",FALSE,-0.26021956359101,51.5054289606046,2448301,"W3 7YG","E00006823","E09000009","E05000191","E01001381","E02000271","E12000007"
"NIMAX THEATRES LIMITED","11 Maiden Lane,
London,
United Kingdom,
WC2E 7NA","5493237","90030",1.1,14.9,0,0,0,0,50,50,51,49,65,35,67,33,"https://www.nimaxtheatres.com/nimax-theatres-limited-gender-pay-gap-report/","Tony Yoe (Finance Director)","250 to 499","NIMAX THEATRES LIMITED",FALSE,-0.12293851059535,51.5106775793638,2488389,"WC2E 7NA","E00023933","E09000033","E05000644","E01004734","E02000977","E12000007"
